first_name,last_name,username,email,department,job_title,iam_group
Jon,Snow,jon.snow,jon.snow@acmeanalytics.com,Engineering,Cloud_Engineer,developers
Daenerys,Targaryen,daenerys.targaryen,daenerys.targaryen@acmeanalytics.com,IT,Cloud_Adminstrator,operations
Tyrion,Lannister,tyrion.lannister,tyrion.lannister@acmeanalytics.com,Finance,Financial_Analysts,finance
Arya,Stark,arya.stark,arya.stark@acmeanalytics.com,Engineering,Cloud_Engineer,developers
Sansa,Stark,sansa.stark,sansa.stark@acmeanalytics.com,Data_Analytics,Data_Analysts,analysts
Cercei,Lannister,cercei.lannister,cercei.lannister@acmeanalytics.com,IT,Cloud_Adminstrator,operations
Jaime,Lannister,jaime.lannister,jaime.lannister@acmeanalytics.com,Engineering,Software_Engineer,developers
Bran,Stark,bran.stark,bran.stark@acmeanalytics.com,Data_Analytics,Data_Analysts,analysts
Jorah,Mormont,jorah.mormont,jorah.mormont@acmeanalytics.com,Engineering,Cloud_Engineer,developers
Samwell,Tarly,samwell.tarly,samwell.tarly@acmeanalytics.com,Data_Analytics,Data_Analysts,analysts
